namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
РКЦ БИЛИБИНО,,77,689450,г,Билибино,"ул Ленина, 6 А",1994-01-20,10,3,1,7728000000,PSAC,,047719001,
ПУ БАНКА РОССИИ ПРИГОРОДНОЕ,,33,613648,пгт,Первомайский,,1994-01-20,40,3,1,3380002000,PSAC,,042202001,
РКЦ ТОБОЛЬСК,,71,626152,г,Тобольск,"ул Семена Ремезова, 22",1994-01-20,10,3,1,7117000000,PSAC,,047102001,
РКЦ КОТЛАС,,11,165300,г,Котлас,"ул Ленина, 74",1994-01-20,10,3,1,1106000000,PSAC,,041117001,
ПУ БАНКА РОССИИ НАГОРНОЕ,,80,453571,г,Межгорье-1,"ул Комсомольская, 12",1994-01-20,40,3,1,8080002000,PSAC,,046577001,
ПУ БАНКА РОССИИ ОХОТСКОЕ,,64,694500,пгт,Южно-Курильск,"ул Гнечко, 1",2017-06-01,40,3,1,6489002000,PSAC,,040507001,
ПУ БАНКА РОССИИ N 67903,,00,067903,,, П/П 67903,2015-01-01,40,3,1,0004002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ПРИГОРОДНОЕ,,45,143210,г,Можайск-10,,2014-01-01,40,3,1,4594002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ЗАРЕЧНОЕ,,25,664045,г,Иркутск 45,,1994-01-20,40,3,1,2534002000,PSAC,,045004001,
ЮЖНОЕ ГУ БАНКА РОССИИ,,03,350000,г,Краснодар,"ул им. Кондратенко Н.И., 12",1994-01-20,00,3,1,0349001000,PSAC,,,
ПУ БАНКА РОССИИ ЗЕЛЕНОГОРСКОЕ,,25,664078,г,Иркутск 78,,1994-01-20,40,3,1,2581002000,PSAC,,045004001,
ПУ БАНКА РОССИИ МОСКОВСКОЕ,,20,394045,г,Воронеж 45,,1994-01-20,40,3,1,2080002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ПРОЛЕТАРСКОЕ,,15,241018,г,Брянск 18,,1994-01-20,40,3,1,1580002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ПОЙМИНСКОЕ,,19,160020,г,Вологда 20,,1994-01-20,40,3,1,1980002000,PSAC,,044030001,
ПУ БАНКА РОССИИ ЗАПАДНОЕ,,45,119160,г,Москва,,1994-01-20,40,3,1,4582002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ЛЕНИНСКОЕ,,14,309372,г,Белгород 22,,1994-01-20,40,3,1,1480002000,PSAC,,044525000,
"АО ""ВЕЛИКИЕ ЛУКИ БАНК""",RU,58,182110,г,Великие Луки,"ул Комсомольская, 27 А",1994-01-20,20,3,1,5853729000,PSAC,598,,
Избирком,RU,36,443001,г,Самара,"ул Садовая, 329",1995-10-23,99,3,1,3601001200,PSAC,,,
"ФИЛИАЛ КБ ""РБА"" (ООО) В Г.МАХАЧКАЛА",RU,82,367000,г,Махачкала,"ул Агасиева, 2-1",2010-10-13,30,3,1,8209880000,PSAC,3413/2,044525082,
ВОЛГО-ВЯТСКОЕ ГУ БАНКА РОССИИ,,22,603008,г,Нижний Новгород,"ул Б. Покровская, 26",1994-01-20,00,3,1,2202001000,PSAC,,,
"Куйбышевский филиал АКБ ""Ланта-Банк"" (АО)",RU,50,632383,г,Куйбышев,"квартал 1, дом 29 ""вставка""",2018-09-20,30,3,1,5004711000,PSAC,1920/2,044525348,
ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,65,620027,г,Екатеринбург,"ул Н. Никонова, 4",2006-10-16,30,3,1,6577971000,PSAC,1/8,044525545,
Избирательная комиссия Кировской области,RU,33,610019,г,Киров,"ул Карла Либкнехта, 69",2000-01-01,99,1,1,3304001578,PSAC,,,
"Ф-Л ""СЕВЕРНАЯ СТОЛИЦА"" АО ""РАЙФФАЙЗЕНБАНК""",RU,40,191186,г,Санкт-Петербург,"наб р.Мойки, 36",2001-10-19,30,3,1,4030723000,PSAC,3292/1,044525700,
"ОРЛОВСКИЙ ФИЛИАЛ АКБ ""ЛАНТА-БАНК"" (АО)",RU,54,302028,г,Орёл,"ул Салтыкова-Щедрина, 21",2005-09-22,30,3,1,5402725000,PSAC,1920/5,044525348,
"ЕФ АО ""СМП БАНК""",RU,65,620142,г,Екатеринбург,"ул Большакова, 70",2008-05-26,30,3,1,6577403000,PSAC,3368/7,044525503,
"ДАГЕСТАНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,82,367010,г,Махачкала,"пр-т Гамидова, 54 А",2000-10-13,30,3,1,8209793000,PSAC,3349/4,044525111,
"КАЛИНИНГРАДСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,27,236022,г,Калининград,"ул Гостиная, 3",2002-04-26,30,3,1,2748878000,PSAC,3349/55,044525111,
"ЛИПЕЦКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,42,398046,г,Липецк,"ул Водопьянова, 17 А",2001-01-26,30,3,1,4206756000,PSAC,3349/24,044525111,
"МОРДОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,89,430005,г,Саранск,"ул Советская, 47 А",2001-02-02,30,3,1,8952750000,PSAC,3349/20,044525111,
"ПЕНЗЕНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,56,440018,г,Пенза,"ул Бекешская, 39",2000-10-27,30,3,1,5655718000,PSAC,3349/15,044525111,
"САРАТОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,63,410003,г,Саратов,"ул им. Радищева А.Н., 65/2",2002-03-11,30,3,1,6311843000,PSAC,3349/52,044525111,
"ТАМБОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,68,392000,г,Тамбов,"ул Максима Горького, 20",2000-10-20,30,3,1,6850713000,PSAC,3349/2,044525111,
"ТАТАРСТАНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,92,420097,г,Казань,"ул Достоевского, 80",2006-04-10,30,3,1,9205706000,PSAC,3349/67,044525111,
"ТОМСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,69,634050,г,Томск,"Московский тракт, 8 Б",2005-06-06,30,3,1,6902711000,PSAC,3349/64,044525111,
"ЧЕЧЕНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,96,364024,г,Грозный,"пр-т М.А. Эсамбаева, 10/77",2001-08-20,30,3,1,9690719000,PSAC,3349/34,044525111,
ЦЕНТРАЛЬНЫЙ БАНК ТУРКМЕНИСТАНА,RU,45,744000,г,Ашхабад,,1998-04-13,99,1,0,4501002003,PSAC,,,
"Небанковская кредитная организация-центральный контрагент ""Национальный Клиринговый Центр"" (Акционерное общество)",RU,45,125009,г,Москва,"Б. Кисловский пер, 13",2013-12-30,99,3,1,4501002075,PSAC,,,
МЕЖДУНАРОДНЫЙ ВАЛЮТНЫЙ ФОНД,RU,45,,,,,2000-12-13,99,1,0,4501002001,PSAC,,,
Международный банк реконструкции и развития,RU,45,,,,,2000-12-13,99,1,0,4501002002,PSAC,,,
Национальный банк Республики Беларусь,RU,45,220008,г,Минск,"пр-т Независимости, 20",1998-04-13,99,1,0,4501002004,PSAC,,,
НАЦИОНАЛЬНЫЙ БАНК КЫРГЫЗСКОЙ РЕСПУБЛИКИ,RU,45,720001,г,Бишкек,"пр-т Чуй, 168",1998-08-19,99,1,0,4501002005,PSAC,,,
НАЦИОНАЛЬНЫЙ БАНК ГРУЗИИ,RU,45,,,,,2003-05-07,99,1,0,4501002008,PSAC,,,
Банк Евроклир,RU,45,,,,,2014-01-28,99,1,0,4501002011,PSAC,,,
Новый банк развития,CN,00,200120,г,Шанхай,"Башня БРИКС,333,окружная дорога Луцзяцзуй, Территория Пудонг, Шанхай, Китай",2018-11-21,99,1,0,4501002021,PSAC,,,New Development Bank
"Акционерное общество ""Национальная система платежных карт""",RU,45,115184,г,Москва,"ул Б. Татарская, 11",2015-11-19,99,1,1,4501002019,PSAC,,,
"АКБ ""ПЕРЕСВЕТ"" (ПАО)",RU,45,119049,г,Москва,"ул. Шаболовка, д. 10, корп. 2",1994-01-20,20,3,1,4525275000,PSAC,2110,,"Joint Stock Commercial Bank ""PERESVET"" (Public joint-stock company) (Peresvet Bank (PJSC))""."
"БЕЛГОРОДСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,14,308015,г,Белгород,"ул Пушкина, 49",2001-05-14,30,3,1,1403740000,PSAC,3349/30,044525111,
"БРЯНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,15,241050,г,Брянск,"пр-т Ленина, 23",2006-10-19,30,3,1,1501747000,PSAC,3349/69,044525111,
Избирательная комиссия Архангельской области,RU,11,163000,г,Архангельск,"пл Ленина, 1",2000-01-01,99,1,0,1117001001,PSAC,,,
УФК по Чукотскому автономному округу,RU,77,689000,г,Анадырь,"ул Мира, 10",2011-05-03,52,3,1,7749000104,PSAC,,,
ВОЛГОГРАДСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,18,400066,г,Волгоград,"ул Новороссийская, 11",2009-01-19,30,3,1,1806701000,PSAC,1/12,044525545,
ВОРОНЕЖСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,20,394036,г,Воронеж,"ул Комиссаржевской, 13",2006-01-13,30,3,1,2007709000,PSAC,1/6,044525545,
УФК по Республике Бурятия,RU,81,670000,г,Улан-Удэ,"ул Ермаковская, 12",2011-04-27,52,3,1,8182002001,PSAC,,,
УФК по Псковской области,RU,58,180000,г,Псков,"ул Гоголя, 55/78",2010-12-28,52,3,1,5801002001,PSAC,,,
"МОСКОВСКИЙ ФКБ ""ЭНЕРГОТРАНСБАНК"" (АО)",RU,45,109028,г,Москва,"ул. Солянка, д. 3, стр. 3",1996-03-11,30,3,1,4525227000,PSAC,1307/4,042748701,
"УДМУРТСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,94,426006,г,Ижевск,"ул Телегина, 30",2001-04-13,30,3,1,9401710000,PSAC,3349/28,044525111,
КРАСНОДАРСКИЙ ФИЛИАЛ ПАО РОСБАНК,RU,03,350049,г,Краснодар,"ул. Олимпийская, 8/ им. Тургенева, 135/1",2011-07-29,30,3,1,0349744000,PSAC,2272/87,044525256,
"ФИЛИАЛ ""СТАВРОПОЛЬСКИЙ"" АО ""АЛЬФА-БАНК""",RU,07,355003,г,Ставрополь,"ул Ленина, 299",2012-08-22,30,3,1,0702752000,PSAC,1326/36,044525593,
УФК по Хабаровскому краю,RU,08,680000,г,Хабаровск,"ул Дзержинского, 41",2011-03-02,52,3,1,0825000040,PSAC,,,
УФК по Московской области,RU,46,115114,г,Москва,"ул Дербеневская, 5",2010-12-28,52,3,1,4681002001,PSAC,,,
"БАШКИРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,80,450008,г,Уфа,"ул Ленина, 70",2004-06-10,30,3,1,8073934000,PSAC,3349/62,044525111,
"МКИБ ""РОССИТА-БАНК"" ООО",RU,45,125047,г,Москва,"ул. 1-я Брестская, д. 22",1995-09-22,20,3,1,4525747000,PSAC,3257,,"""RUSSITABANK"" (LTD)"
СЕВЕРО-ЗАПАДНЫЙ ФИЛИАЛ ПАО РОСБАНК,RU,40,191186,г,Санкт-Петербург,"наб кан.Грибоедова, 13",2005-02-21,30,3,1,4030778000,PSAC,2272/70,044525256,PJSC ROSBANK (SEVERO-ZAPADNYJ BRANCH) ST.PETERSBURG
"АО ""МТИ Банк""",RU,45,119049,г,Москва,"ул. Мытная, д. 1, стр.1, этаж 2, помещение I",1994-01-20,20,3,1,4525273000,PSAC,1052,,Joint-stock company MTI Bank (MTI Bank)
НИЖЕГОРОДСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,22,603134,г,Нижний Новгород,"ул Костина, 20",2007-06-09,30,3,1,2202799000,PSAC,1/9,044525545,
РОСТОВСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,60,344002,г,Ростов-на-Дону,"ул Социалистическая, 58/51",2004-11-18,30,3,1,6015081000,PSAC,1/2,044525545,
ПЕРМСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,57,614000,г,Пермь,"ул Монастырская, 41",2005-10-24,30,3,1,5773873000,PSAC,1/4,044525545,
"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ООО КБ ""ГЕФЕСТ""",RU,40,199034,г,Санкт-Петербург,"8-ая линия ВО, 19 лит А пом. 10-Н",2009-12-29,30,3,1,4030716000,PSAC,1046/1,042809992,
СТАВРОПОЛЬСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,07,355041,г,Ставрополь,"ул Доваторцев, 38 А",2009-03-26,30,3,1,0702750000,PSAC,1/13,044525545,
"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ПАО ""РОСДОРБАНК""",RU,40,191024,г,Санкт-Петербург,"ул. 4-я Советская, д. 37а лит А",2010-05-17,30,3,1,4030729000,PSAC,1573/9,044525666,
"ХАБАРОВСКИЙ ФИЛИАЛ АКБ ""БЭНК ОФ ЧАЙНА""(АО)",RU,08,680000,г,Хабаровск,"ул Московская, 9",2012-06-18,30,3,1,0813864000,PSAC,2309/1,044525213,BANK OF CHINA (RUSSIA) (KHABAROVSK)
УФК по Краснодарскому краю,RU,03,350000,г,Краснодар,"ул Карасунская, 155",2004-12-31,52,3,1,0394002001,PSAC,,,
"ООО МИБ ""ДАЛЕНА""",RU,45,111024,г,Москва,"шоссе Энтузиастов, д. 17, стр. 1",2016-06-06,20,3,1,4525371000,PSAC,1948,,"Limited Liability Company Moscow Investment Bank ""DALENA"" (DALENA BANK, Ltd)"
"АО ""ВЛАДБИЗНЕСБАНК""",RU,17,600015,г,Владимир,"пр-т Ленина, 35",1994-01-20,20,5,1,1708706000,PSAC,903,,
ИЗБИРАТЕЛЬНАЯ КОМИССИЯ ТЮМЕНСКОЙ ОБЛАСТИ,RU,71,625004,г,Тюмень,"Володарского, 49",1995-08-29,99,1,0,7102001001,PSAC,,,
"ФИЛИАЛ № 9 ПАО КБ ""ЦЕНТР-ИНВЕСТ""",RU,18,400074,г,Волгоград,"ул Рабоче-Крестьянская, 22",2004-09-02,30,3,1,1806870000,PSAC,2225/9,046015762,
"ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК""",RU,40,191123,г,Санкт-Петербург,"ул Фурштатская, 40 лит А",1997-09-09,30,3,1,4030786000,PSAC,1326/2,044525593,
ПУ БАНКА РОССИИ АВАЧИНСКОЕ,,30,684090,г,Вилючинск,мкр-н Центральный д. 5,1994-01-20,40,3,1,3081002000,PSAC,,040507001,
"ФИЛИАЛ №10 ПАО КБ ""ЦЕНТР-ИНВЕСТ""",RU,22,603003,г,Нижний Новгород,"ул Коминтерна, 139",2017-12-22,30,3,1,2202717000,PSAC,2225/10,046015762,
"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г.ПЕРМИ",RU,57,614015,г,Пермь,"пр-кт Комсомольский, д. 38",2011-09-06,30,3,1,5773713000,PSAC,1885/4,044525341,
"КБ ""НМБ"" ООО",RU,45,119435,г,Москва,"Большой Саввинский пер., д.2-4-6, стр. 10",1994-07-29,20,3,1,4525852000,PSAC,2932,,"""NEW MOSCOW BANK"" (""NMB"")"
"Ф.АКБ ""ФОРА-БАНК"" (АО) В Г.САНКТ-ПЕТЕРБУРГ",RU,40,191187,г,Санкт-Петербург,"Литейный проспект, дом 13, литера А, помещение1-Н",2014-03-20,30,3,1,4030831000,PSAC,1885/6,044525341,
"АО КБ ""РУСНАРБАНК""",RU,45,115184,г,Москва,"Озерковский переулок, дом 3",2002-06-28,20,5,1,4525466000,PSAC,3403,,"Joint stock company Commercial bank ""RUSNARBANK"" (JSC ""RUSNARBANK"")"
УФК по Краснодарскому краю,RU,03,350000,г,Краснодар,"ул Карасунская, 155",2011-01-11,52,3,1,0397002001,PSAC,,,
"АО ""ИШБАНК""",RU,45,117420,г,Москва,"ул. Наметкина, д. 13Д",1994-09-20,20,5,1,4525624000,PSAC,2867,,Joint Stock Company ISBANK (ISBANK)
"""СОЦИУМ-БАНК"" (ООО)",RU,45,125190,г,Москва,"Ленинградский проспект, дом 80, корпус 16",1994-07-29,20,5,1,4525409000,PSAC,2881,,"""SOCIUM-BANK"" (Limited Liability Company) (""SOCIUM-BANK"")"
ФИЛИАЛ МОРСКОГО БАНКА (АО) В Г. ВЛАДИВОСТОК,RU,05,690001,г,Владивосток,"ул Светланская, 78 Б",2007-10-25,30,3,1,0507879000,PSAC,77/8,044525095,
"ФИЛИАЛ АКБ ""СЛАВИЯ"" (АО) В Г.САНКТ-ПЕТЕРБУРГ",RU,40,190000,г,Санкт-Петербург,"пер Гривцова, 4 лит А",2014-02-11,30,3,1,4030742000,PSAC,2664/5,044525318,
"АО КБ ""ЮНИСТРИМ""",RU,45,127083,г,Москва,"ул. Верхняя Масловка, д. 20, стр. 2",2006-09-04,20,5,1,4525550000,PSAC,3467,,UNISTREAM COMMERCIAL BANK (JSC) (UNISTREAM BANK)
"ООО ""АЛТЫНБАНК""",RU,92,420124,г,Казань,"ул Фатыха Амирхана, 15",1994-01-20,20,3,1,9205919000,PSAC,2070,,
"ПЕРМСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""",RU,57,614007,г,Пермь,"ул Н. Островского, 59/1",2010-06-03,30,3,1,5773712000,PSAC,2440/6,044525176,
Банк РМП (АО),RU,45,123557,г,Москва,"улица Климашкина, дом 21, строение 1",1994-03-01,20,3,1,4525583000,PSAC,2574,,Industry development and modernization bank (Joint-Stock Company) (Bank IDM (JSC))
ОТДЕЛЕНИЕ АНАДЫРЬ БАНКА РОССИИ,,77,689000,г,Анадырь,"ул Дежнева, 7",1994-01-20,12,3,1,7719001000,PSAC,,040507001,
ОТДЕЛЕНИЕ АРХАНГЕЛЬСК БАНКА РОССИИ,,11,163000,г,Архангельск,"ул Карла Либкнехта, 3",1994-01-20,12,3,1,1117001000,PSAC,,044030001,
ОТДЕЛЕНИЕ АСТРАХАНЬ БАНКА РОССИИ,,12,414041,г,Астрахань,"ул Ангарская, 28",1994-01-20,12,3,1,1203001000,PSAC,,040349001,
ОТДЕЛЕНИЕ БАРНАУЛ БАНКА РОССИИ,,01,656031,г,Барнаул,"ул Крупской, 91 А",1994-01-20,12,3,1,0173001000,PSAC,,045004001,
ОТДЕЛЕНИЕ БЕЛГОРОД БАНКА РОССИИ,,14,308000,г,Белгород,"пр-т Славы, 74",1994-01-20,12,3,1,1403001000,PSAC,,044525000,
ОТДЕЛЕНИЕ БИРОБИДЖАН БАНКА РОССИИ,,99,679016,г,Биробиджан,"пр-т 60-летия СССР, 5",1994-01-20,12,3,1,9923001000,PSAC,,040507001,
ОТДЕЛЕНИЕ БЛАГОВЕЩЕНСК БАНКА РОССИИ,,10,675000,г,Благовещенск,"пер Святителя Иннокентия, 17",1994-01-20,12,3,1,1012001000,PSAC,,040507001,
ОТДЕЛЕНИЕ БРЯНСК БАНКА РОССИИ,,15,241050,г,Брянск,"ул Горького, 34",1994-01-20,12,3,1,1501001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ВЛАДИМИР БАНКА РОССИИ,,17,600000,г,Владимир,"ул Гоголя, 10",1994-01-20,12,3,1,1708001000,PSAC,,044525000,
ОТДЕЛЕНИЕ ВОЛГОГРАД БАНКА РОССИИ,,18,400066,г,Волгоград,"пр-т имени В.И. Ленина, 18",1994-01-20,12,3,1,1806001000,PSAC,,040349001,
ОТДЕЛЕНИЕ ВОЛОГДА БАНКА РОССИИ,,19,160000,г,Вологда,"ул Предтеченская, 5",1994-01-20,12,3,1,1909001000,PSAC,,044030001,
ОТДЕЛЕНИЕ ВОРОНЕЖ БАНКА РОССИИ,,20,394018,г,Воронеж,"ул Театральная, 36",1994-01-20,12,3,1,2007001000,PSAC,,044525000,
