namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
"АКБ ""ФОРА-БАНК"" (АО)",RU,45,119021,г,Москва,"Зубовский бульвар, дом 25",1994-01-20,20,5,1,4525341000,PSAC,1885,,FORA-BANK AO
ПУ БАНКА РОССИИ ДОРОЖНОЕ,,46,141307,г,Сергиев Посад,"ул. Весенняя, д. 2б",1994-01-20,40,3,1,4680002000,PSAC,,044525000,
"Филиал ""Возрождение"" АО ""БМ-Банк""",RU,45,101000,г,Москва,"переулок Большой Златоустинский, дом 4, 4 этаж, помещение 10",2021-04-30,30,3,1,4525774000,PSAC,2748/63,044525062,
"ИКБР ""ЯРИНТЕРБАНК"" (ООО)",RU,78,150000,г,Ярославль,"ул Собинова, 30",1994-01-20,20,5,1,7888728000,PSAC,2564,,
"Киришский ф-л ПАО ""Банк ""Санкт-Петербург""",RU,41,187110,г,Кириши,"пр-кт Ленина, д. 28",2023-05-16,30,3,1,4030871000,PSAC,436/27,044030790,
"Приозерский ф-л ПАО ""Банк ""Санкт-Петербург""",RU,41,188760,г,Приозерск,"ул. Ленина, д. 18",2023-05-16,30,3,1,4030817000,PSAC,436/22,044030790,
ТКБ БАНК ПАО,RU,45,109147,г,Москва,"ул. Воронцовская, д. 27/35",1994-01-20,20,5,1,4525388000,PSAC,2210,,TRANSKAPITALBANK
"ФИЛИАЛ ""РОСТОВСКИЙ"" АО ""ОТП БАНК""",RU,60,347880,г,Гуково,"ул Красная Горка, 3",2015-03-02,30,3,1,6014327000,PSAC,2766/9,044525311,
ФИЛИАЛ № 7806 БАНКА ВТБ (ПАО),RU,40,198095,г,Санкт-Петербург,"ул. Маршала Говорова, д. 52, литера А",2017-09-21,30,3,1,4030707000,PSAC,1000/90,044525187,VTB BANK (PJSC)
"КБ ""ЛОКО-Банк"" (АО)",RU,45,125167,г,Москва,"Ленинградский проспект, дом 39, строение 80",1994-05-10,20,5,1,4525161000,PSAC,2707,,"Joint stock company ""LOCKO-Bank"" (""LOCKO-Bank"")"
Избирательная комиссия Магаданской области,RU,44,685000,г,Магадан,"ул Горького, 6",2009-04-08,99,3,1,4442001102,PSAC,,,
Избирательная комиссия Республики Хакасия,RU,95,655019,г,Абакан,"пр-т Ленина, 67",1995-07-14,99,1,0,9514001002,PSAC,,,
ЗАПАДНО-СИБИРСКОЕ ОТДЕЛЕНИЕ№8647 ПАО СБЕРБАНК,RU,71,625023,г,Тюмень,"ул Рижская, 61",1994-01-20,30,3,1,7102651000,PSAC,1481/1597,044525225,SBERBANK (ZAPADNO-SIBIRSKY HEAD OFFICE)
ИЗБИРАТЕЛЬНАЯ КОМИССИЯ ИРКУТСКОЙ ОБЛАСТИ,RU,25,664027,г,Иркутск,"ул Ленина, 1 А",1995-08-25,99,1,0,2520001006,PSAC,,,
УФК по Калининградской области,RU,27,236022,г,Калининград,"ул Зоологическая, 27 А",2016-04-07,52,1,1,2785002001,PSAC,,,
"ФИЛИАЛ ""СДМ-БАНК"" (ПАО) В Г.ВОРОНЕЖЕ",RU,20,394018,г,Воронеж,"ул Никитинская, 49",1995-09-22,30,3,1,2007778000,PSAC,1637/3,044525685,
"УРАЛЬСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""",RU,65,620027,г,Екатеринбург,"ул Н. Никонова, 4",2007-04-26,30,3,1,6577975000,PSAC,3251/40,044525555,
"АО ""Солид Банк""",RU,05,690091,г,Владивосток,"ул. Алеутская, д. 33",2017-07-03,20,5,1,0507595000,PSAC,1329,,
"НКО ""РКЦ ДВ"" (АО)",RU,05,690001,г,Владивосток,"ул Махалина, 15",2016-04-27,20,3,1,0507707000,PSAC,3318-Р,,
"АО ""Роял Кредит Банк""",RU,05,690068,г,Владивосток,"проспект 100-летия Владивостока, дом 155, литер Б",2017-04-10,20,5,1,0507750000,PSAC,783,,
