bic	namep	rgn	ind	tnp	nnp	adr	prntbic	datein	pttype	srvcs	xchtype	uid	participantstatus	regn	cntrcd	account	regulationaccounttype	ck	accountcbrbic	accountstatus	englname	swbic	defaultswbic
040407427	КУ КБ "КАНСКИЙ" ООО - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2013-09-12	90	1	0	0407427000	PSAC	860	RU	30101810904070000427	CRSA	95	040407001	ACAC			
044525910	КУ КБ "ХОЛДИНГ-КРЕДИТ" ООО - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-08	90	1	0	4525910000	PSAC	3030	RU	30101810345250000910	CRSA	84	044525000	ACAC			
049205708	КУ ООО "ТАТАГРОПРОМБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1999-11-02	90	1	1	9205708000	PSAC	728	RU	30101810000000000708	CRSA	45	049205001	ACAC			
044525242	КУ КБ "ВЕГА-БАНК" (ООО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-10	90	1	0	4525242000	PSAC	3270	RU	30101810945250000242	CRSA	91	044525000	ACAC			
044525376	КУ "ДИЛ-БАНК" (ООО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-12	90	1	0	4525376000	PSAC	3384	RU	30101810345250000376	CRSA	16	044525000	ACAC			
044525337	КУ КБ "РУБЛЕВСКИЙ" ООО - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-16	90	1	0	4525337000	PSAC	2192	RU	30101810245250000337	CRSA	85	044525000	ACAC			
044525621	КУ КБ "АНТАЛБАНК" ООО - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-12	90	1	0	4525621000	PSAC	3115	RU	30101810045250000621	CRSA	82	044525000	ACAC			
044525882	КУ БАНК "ЕВРОКРЕДИТ" (ООО)-ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-12	90	1	0	4525882000	PSAC	2957	RU	30101810745250000882	CRSA	04	044525000	ACAC			
044525887	КУ КБ "КРК" (ОАО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-11	90	1	0	4525887000	PSAC	3385	RU	30101810245250000887	CRSA	98	044525000	ACAC			
044525461	КУ АКБ "БЕНИФИТ-БАНК" (ЗАО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-21	90	1	0	4525461000	PSAC	3229	RU	30101810645250000461	CRSA	16	044525000	ACAC			
044525485	КУ КБ "КБР БАНК" (ООО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-15	90	1	0	4525485000	PSAC	3364	RU	30101810045250000485	CRSA	16	044525000	ACAC			
047308811	ГК "АСВ" - КУ ОАО ГБ "СИМБИРСК"	45	127994	г	Москва	ГСП-4		1991-05-23	90	1	0	7308811000	PSAC	653	RU	30101810600000000811	CRSA	25	047308001	ACAC			
049205804	КУ ПАО "ИНТЕХБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1993-12-09	90	1	1	9205804000	PSAC	2705	RU	30101810700000000804	CRSA	31	049205001	ACAC			
049205815	КУ ПАО "ТАТФОНДБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1994-04-04	90	1	1	9205815000	PSAC	3058	RU	30101810100000000815	CRSA	09	049205001	ACAC			
049205858	КУ АКБ "СПУРТ" (ПАО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1992-12-01	90	1	1	9205858000	PSAC	2207	RU	30101810400000000858	CRSA	20	049205001	ACAC			
046577406	КУ ПАО "УРАЛТРАНСБАНК" - ГК "АСВ"	65	620027	г	Екатеринбург	ул Мельковская, 2 Б		2015-10-07	90	1	0	6577406000	PSAC	812	RU	30101810765770000406	CRSA	51	046577001	ACAC			
044525783	КУ КБ "РЭБ" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-21	90	1	0	4525783000	PSAC	2211	RU	30101810145250000783	CRSA	57	044525000	ACAC			
044525279	КУ АО КБ "БТФ" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2001-08-23	90	1	0	4525279000	PSAC	1982	RU	30101810100000000279	CRSA	67	044525000	ACAC			
044525122	КУ АО КБ "Златкомбанк" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2015-09-08	90	1	0	4525122000	PSAC	568	RU	30101810845250000122	CRSA	08	044525000	ACAC			
042520849	КУ АО "ВостСибтранскомбанк" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, 4		2002-09-25	90	1	0	2520849000	PSAC	2731	RU	30101810700000000849	CRSA	69	042520001	ACAC			
041012718	ПАО КБ "ВОСТОЧНЫЙ"	10	675004	г	Благовещенск	переулок Св. Иннокентия, 1		1999-06-22	20	3	1	1012718000	PSAC	1460	RU	30101810700000000718	CRSA	18	041012001	ACAC	ORIENT EXPRESS BANK	DALVRU8XXXX	1
040507750	АО "Роял Кредит Банк"	05	690068	г	Владивосток	проспект 100-летия Владивостока, дом 155, литер Б		2017-04-06	20	5	1	0507750000	PSAC	783	RU	30101810105070000750	CRSA	73	040507001	ACAC			
044525325	КУ ООО КБ "Жилкредит" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2015-08-25	90	1	0	4525325000	PSAC	1736	RU	30101810545250000325	CRSA	85	044525000	ACAC			
044525280	КУ КБ "РТБК" (ООО) - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д.4		2000-06-27	90	1	0	4525280000	PSAC	2842	RU	30101810500000000280	CRSA	51	044525000	ACAC			
044525328	КУ АО "РМБ" БАНК - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-06-03	90	1	0	4525328000	PSAC	3123	RU	30101810445250000328	CRSA	46	044525000	ACAC			
044525270	КУ ООО КБ "АКАДЕМРУСБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-25	90	1	0	4525270000	PSAC	622	RU	30101810645250000270	CRSA	36	044525000	ACAC			
044525713	КУ ПАО "ТАЙМ БАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-06-07	90	1	0	4525713000	PSAC	3120	RU	30101810445250000713	CRSA	26	044525000	ACAC			
047308818	ГК "АСВ" - КУ АО БАНК "РКБ"	36	443030	г	Самара	ул Вилоновская, 138		2016-09-09	90	1	0	7308818000	PSAC	836	RU	30101810522027300818	CRSA	18	047308001	ACAC			
046015961	КУ ООО КБ "Кредит Экспресс" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого,4		1993-12-09	90	1	0	6015961000	PSAC	3186	RU	30101810600000000961	CRSA	36	046015001	ACAC			
041909769	КУ АО КБ "СЕВЕРНЫЙ КРЕДИТ" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2011-03-14	90	1	0	1909769000	PSAC	2398	RU	30101810500000000769	CRSA	36	041909001	ACAC			
046015938	КУ АО АКБ "Стелла-Банк" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д.4		1994-08-31	90	1	0	6015938000	PSAC	2948	RU	30101810400000000938	CRSA	88	046015001	ACAC			
046614748	КУ БАНК "СМОЛЕВИЧ" (ПАО)-ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-12-17	90	1	0	6614748000	PSAC	1121	RU	30101810566140000748	CRSA	34	046614001	ACAC			
047102804	КУ БАНК СБРР (ООО) - ГК "АСВ"	71	625000	г	Тюмень	ул. Некрасова, д. 11		2010-03-30	90	1	0	7102804000	PSAC	1284	RU	30101810000000000804	CRSA	82	047102001	ACAC			
046015846	КУ ОАО КБ "Максимум" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д.4		2018-10-05	90	1	0	6015846000	PSAC	466	RU	30101810060150000846	CRSA	32	046015001	ACAC			
044525373	КУ АКБ "ЛЕГИОН" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-11	90	1	0	4525373000	PSAC	3117	RU	30101810445250000373	CRSA	55	044525000	ACAC			
044525861	КУ ООО КБ "ЭРГОБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2007-02-12	90	1	0	4525861000	PSAC	2856	RU	30101810000000000861	CRSA	08	044525000	ACAC			
044525541	КУ КБ"МЕЖДУНАРОДНЫЙ БАНК РАЗВИТИЯ"(АО)ГК"АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2006-03-09	90	1	0	4525541000	PSAC	2704	RU	30101810100000000541	CRSA	03	044525000	ACAC			
